Unnamed: 0.1,Unnamed: 0,filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality
167,167,Minneapolis_11062009_Ward8CityCouncil.csv,0,1.0,R,5,3,0.883284837,0.8066602,88.16682832,52.21467831,22.79340446,16.42418364,9.279017135,0.8814633370889253
168,168,Minneapolis_11062009_Ward9CityCouncil.csv,0,1.0,R,4,3,0.869361844,0.814567324,80.92215169,61.64383562,29.36852656,22.65285667,,0.4462582073259973
169,169,Minneapolis_11062009_Ward10CityCouncil.csv,0,1.0,R,4,3,0.805655836,0.881167268,85.46931408,39.2599278,32.22021661,26.98555957,,0.2776930768378003
170,170,Minneapolis_11062009_Ward11CityCouncil.csv,0,1.0,R,3,3,0.972229172,0.943457593,81.48611459,55.46659995,27.42056542,,,0.8285018392389308
171,171,Minneapolis_11062009_Ward12CityCouncil.csv,0,1.0,R,4,3,0.855656973,0.836765018,77.86032689,45.48928041,35.95839525,15.62300998,,0.6937269120380278
172,172,Minneapolis_11062009_Ward13CityCouncil.csv,0,1.0,R,3,3,0.928404149,0.928404149,79.00635664,43.91100703,35.0284376,,,0.565115049260089
173,173,Minneapolis_11072017_Mayor.csv,0,1.0,E,18,3,,0.586470053,52.44314645,47.78187389,45.01077225,42.22243501,42.08550773,0.1402587558973694
174,174,Minneapolis_11072017_PRBoardDistrict1.csv,0,1.0,B,3,3,0.877442024,0.877442024,74.95432186,73.20449754,55.55867885,,,0.5974239780066133
175,175,Minneapolis_11072017_PRBoardDistrict2.csv,0,1.0,B,2,3,1.0,1.0,78.91654466,72.4180651,,,,0.8428752918551048
176,176,Minneapolis_11072017_PRBoardDistrict3.csv,0,1.0,B,3,3,0.932816892,0.932816892,70.26119147,66.07938575,41.29704531,,,0.47757237130578
